id;topic;description
1;Есть ли жизнь на Марсе?;Исследования в области космологии.
2;Кто такие куст ракиты?;Загадки человечества.
3;Что делать?;Ответы на жизненные вопросы.
4;Кто ты мужик?;Вопрос своему отражению в субботу утром.
5;Привлекательная Эфиопия.;Крокодилы, удавы, мухи Ц-Ц и прочие радости проживания в Эфиопии.
6;Кто подставил кролика Роджера?;Методологии расследований приступлений.
7;Луна;Анализ нестыковок видео полета на Луну.
8;Рэп или металл;Холивар.
9;Apple и Microsoft;Кто у кого что украл.
10;Быть или не быть?;Чтение Гамлета.
